_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,source,type_of_advice_or_caution,type_of_advice_or_caution:confidence,what,when,where,category,source_gold,text_no_rt,tweet,type,type_of_advice_or_caution_gold,user,what_gold,when_gold,where_gold
227175857,true,golden,8,12/8/2012 19:09:26,"#sandy
N/A
N/A
n/a
N/A

N/A
n/a",A hurricane sighting has been reported,0.7629,"Storm just now hitting Jersey
All bridges closing in NYC & Jersey
All bridges closing
Storm
All bridges closing in NYC & Jersey
Storm just now hitting Jersey
Storm just now hitting Jersey
Storm just now hitting","now
now
just now
n/a
N/A
now
now
just now","NYC & Jersey
NYC & Jersey
Milford
Jersey
NYC & Jersey
Jersey
Jersey
NYC & Jersey",Informative (Direct or Indirect),,Storm just now hitting Jersey...Milford is feeling it big time. All bridges closing in NYC & Jersey. Wow... #sandy,Storm just now hitting Jersey...Milford is feeling it big time. All bridges closing in NYC & Jersey. Wow... #sandy,Caution and advice,A hurricane sighting has been reported,beball,"hitting Jersey
All bridges closing in NYC & Jersey
Storm just now hitting Jersey
Storm",now,"NYC
Jersey
Jersey
NYC & Jersey"
227175859,false,golden,1,11/25/2012 17:31:06,n/a,Other,1.0,Hurricane Sandy is going to fill the subways with water,n/a,NYC,Informative (Direct or Indirect),,Hurricane Sandy is going to fill the subways with water. There will literally be giant underground rivers running beneath NYC. #HolyShit,RT @JessieWessie33: Hurricane Sandy is going to fill the subways with water. There will literally be giant underground rivers running beneath NYC. #HolyShit,Caution and advice,Other,britthanus, fill the subways with water,,NYC
227175860,true,golden,34,12/10/2012 06:05:12,"
n/a

#Sandy
n/a
n/a
#Sandy
#Sandy


N/A
N/A
N/A
N/A

N/A
N/A
#Sandy

N/A



n/a
n/a
n/a

N/A
N/A
N/A
n/a


N/A",A hurricane sighting has been reported,0.7427,"NYC is now impacted by hurricane
impacted
hurricane #Sandy
impacted by hurricane
hurricane #Sandy
hurricane
impacted by hurricane
impacted by hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
NYC is now impacted
hurricane
hurricane #Sandy
NYC is now impacted by hurricane
impacted by hurricane
impacted by hurricane
hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
hurricane
hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
NYC is now impacted by hurricane
hurricane #Sandy
impacted by hurricane
Omg NYC is now impacted by hurricane
impacted by hurricane
NYC is now impacted by hurricane","now
now

now
n/a
n/a
N/A
now

now
now
now
now
now

now
N/A
""N/A""

now

now
now
n/a
now
now

N/A
now
now
n/a

now
N/A","NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC",Informative (Direct or Indirect),,Omg NYC is now impacted by hurricane #Sandy,Omg NYC is now impacted by hurricane #Sandy,Caution and advice,A hurricane sighting has been reported,BuniYani,"Impacted
NYC is now impacted by hurricane
impacted by hurricane
hurricane",Now,"NYC
NYC"
227175862,true,golden,31,12/10/2012 06:08:53,"n/a

#Sandy
#Sandy
N/A




N/A

N/A
N/A


n/a
n/a
N/a
na
n/a

N/A
N/A
N/A
N/A

N/A
N/A
n/a

N/A",Other,0.9531,"stock market closing
stock market closing for bad weather
stock market closing
stock market closing
stock market closing
stock market closing for bad weather
stock market closing
stock market closing
stock market closing
stock market closing
stock market closing
stock market closing
stock market closing
stock market closing
stock market closing
stock market closing for bad weather
stock market closing for bad weather
bad weather #sandy
closing
stock market closing
stock market closing for bad weather
First time since 1888 stock market closing for bad weather
stock market closing for bad weather
First time since 1888 stock market closing for bad weather
stock market closing for bad weather
stock market closing
stock market closing
stock market closing
stock market closing for bad weather
stock market closing
First time since 1888 stock market closing for bad weather","n/a

na
N/A
N/A

1988


N/A

N/A
since 1888
since 1888
n/a
First time since 1888
First time since 1888
N/a
na
n/a

N/A
N/A
N/A
N/A

N/A
N/A
First time since 1888
since 1888
N/A","stock market
n/a
na
N/A
N/A
N/A
n/a
n/a
N/A
N/A
N/A
N/A
N/A
N/A
n/a
stock market
n/a
Stock market
stock market
stock market
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
n/a
N/A
N/A",Informative (Direct or Indirect),,First time since 1888 stock market closing for bad weather #Sandy,First time since 1888 stock market closing for bad weather #Sandy,Caution and advice,Other,feverplay_xo,"stock market closing
stock market closing for bad weather
stock market closing
First time since 1888 stock market closing for bad weather
bad weather","N/A
n/a","N/A
n/a"
227175867,false,golden,1,11/25/2012 17:24:06,n/a,A hurricane sighting has been reported,1.0,Hurricane Sandy,n/a,NYC,Informative (Direct or Indirect),,Hurricane Sandy or else Frankestorm heading toward NYC http://t.co/OPLYDC2D,RT @KateNinaA: Hurricane Sandy or else Frankestorm heading toward NYC http://t.co/OPLYDC2D,Caution and advice,"A hurricane sighting has been reported
Other",LuciiAgudo,Hurricane Sandy or else Frankestorm,,heading toward NYC
227175868,false,golden,1,11/25/2012 17:17:44,"",Other,1.0,NYC closing bridges and tunnels,at 7pm,NYC,Informative (Direct or Indirect),,NYC closing bridges and tunnels at 7pm #Sandy,NYC closing bridges and tunnels at 7pm #Sandy,Caution and advice,Other,MikeBeam,NYC closing bridges and tunnels,at 7pm,
227175869,true,golden,22,12/10/2012 06:12:57,"#Sandy
n/a
#Sandy
N/A


N/A
N/A


n/a
n/a
na
N/A
N/A

N/A
n/a



N/A",Other,1.0,"water coming out of your faucet
water
water coming out of your faucet
If you have water coming out of your faucet it is safe to drink
If you have water coming out of your faucet it is safe to drink
water coming out of your faucet
If you have water coming out of your faucet it is safe to drink
water coming out of your faucet
water coming out of your faucet it is safe to drink
If you have water coming out of your faucet it is safe to drink
safe water
safe water
it is safe to drink
If you have water coming out of your faucet it is safe to drink
If you have water coming out
water coming out of your faucet
water coming out of your faucet
water coming out of your faucet it is safe to drink
If you have water coming out of your faucet it is safe to drink
water coming out of your faucet
water coming out of your faucet
water coming out of your faucet it is safe to drink","na
n/a
N/A
N/A


N/A
N/A


n/a
n/a
na
N/A
N/A

N/A
n/a



N/A","na
n/a
N/A
N/A
n/a
n/a
N/A
N/A
N/A
N/A
coming out of your faucet
coming out of your faucet
out of your faucet
N/A
N/A
N/A
N/A
n/a
N/A
N/A
N/A
N/A",Informative (Direct or Indirect),,If you have water coming out of your faucet it is safe to drink. #Sandy,RT @NYCMayorsOffice: If you have water coming out of your faucet it is safe to drink. #Sandy,Caution and advice,Other,nathancreitz,water coming out of your faucet,,
227175874,false,golden,1,11/25/2012 17:24:06,n/a,Other,1.0,Find open pharmacies,n/a,NYC area,Informative (Direct or Indirect),@RxResponse @WPIX #PSRT #MedsInDisaster,Find open pharmacies after #Frankenstorm #Sandy in the NYC area @RxResponse @WPIX #PSRT #MedsInDisaster,Find open pharmacies after #Frankenstorm #Sandy in the NYC area @RxResponse @WPIX #PSRT #MedsInDisaster,Caution and advice,Other,RxResponse,"open pharmacies
Find open pharmacies
pharmacies
Find open pharmacies after #Frankenstorm #Sandy in the NYC area
Sandy",after #Frankenstorm #Sandy,"in the NYC area
NYC
in the NYC area
the NYC area"
227175875,true,golden,29,12/10/2012 06:08:53,"NYGovCuomo
.@NYGovCuomo
@NYGovCuomo
n/a
@NYGovCuomo
@NYGovCuomo
NYGovCuomo
NYGovCuomo
@NYGovCuomo
@NYGovCuomo
NYGovCuomo
NYGovCuomo
NYGovCuomo
@NYGovCuomo
.@NYGovCuomo
@NYGovCuomo
NYGovCuomo
@NYGovCuomo
@NYGovCuomo
@NYGovCuomo
@NYGovCuomo
GovCuomo
N/A
NYGovCuomo
NYGovCuomo

@NYGovCuomo
@NYGovCuomo
@NYGovCuomo",Other,0.93,"closing of NYC bridges
closing of NYC bridges
GovCuomo orders closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
orders closing of NYC bridges
orders closing of NYC bridges
@NYGovCuomo orders closing of NYC bridges
NYGovCuomo orders closing of NYC bridges
closing of NYC bridges.
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges
closing of NYC bridges","close by 7pm
7pm
7pm
n/a
7pm
by 7pm
7pm
7pm
7pm
7pm
7pm
7pm
7pm
Bridges must close by 7pm
by 7pm
by 7pm
by 7pm
7pm
7pm
7pm
7pm

N/A
7pm
7pm
7pm
7pm
7pm
7pm","NYC
#NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
N/A
N/A
NYC
NYC
NYC
NYC
NYC
NYC",Informative (Direct or Indirect),"@NYGovCuomo 
NYGovCuomo",.@NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Bridges must close by 7pm. #Sandy #NYC,RT @weatherchannel: .@NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Bridges must close by 7pm. #Sandy #NYC,Caution and advice,Other,saraha64,"closing of NYC bridges
closing of NYC bridges
orders closing of NYC bridges
NYGovCuomo orders closing of NYC bridges"," by 7pm
7pm
close by 7pm
7pm.","#NYC
NYC
NYC bridges
N/A"
227175880,true,golden,93,12/10/2012 14:47:51,"
n/a

na
n/a
n/a
N/A
N/A


N/A
N/A
N/A



N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A

N/A




n/a




n/a
n/a
NA
na
n/a

N/A

N/A
N/A
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a



N/A
N/A
n/A
n/A
n/A
n/A
n/A
n/A
n/A
n/A",A hurricane sighting has been reported,0.918,"sandy
sandy has hit
sandy
sandy
sandy
sandy
hit stourport
sandy has hit
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
looks like sandy has hit
sandy has hit
sandy
sandy
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
sandy
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
sandy has hit stourport
sandy
sandy
Sandy has hit
sandy has hit
sandy has hit
looks like sandy has hit stourport!
sandy has hit stourport!
sandy
sandy
sandy
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
looks like sandy has hit stourport!
sandy has hit stourport!
sandy has hit stourport!
sandy has hit stourport
sandy has hit stourport
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit
sandy has hit","
n/a

na
n/a
n/a
N/A
N/A


N/A
N/A
N/A



N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A

N/A

""N/A""


n/a


n/a
n/a
n/a
n/a
N/a
na
n/a

N/A

N/A
N/A
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a
n/a



N/A
N/A
N/A
n/A
n/A
n/A
n/A
n/A
n/A
n/A","stourport!
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
Stour port
stourport
stourport
stourport!
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourpor
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport
stourport!
stourport!
stourport!
stourport
stourport
stourport
stourport
stourport
stourport
stourport
tourport
stourport
stourport",Informative (Direct or Indirect),"N/A
""N/A""
n/a",looks like sandy has hit stourport!,looks like sandy has hit stourport!,Caution and advice,A hurricane sighting has been reported,kathsandford," sandy has hit 
sandy
sandy has hit stourport
sandy has hit
danger
sandy
sandy
looks like sandy has hit stourport!","N/A
""N/A""
n/a","stourport
stourport"
