_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,type_of_message,type_of_message:confidence,url_or_name_of_the_stationchannel,what,category,text_no_rt,tweet,type,type_of_message_gold,url_or_name_of_the_stationchannel_gold,user,what_gold
227174029,true,golden,7,11/25/2012 07:05:36,None of the above,0.8817,"N/A
n/a
N/A
N/A
NA
N/A
N/A","sandy was a weak ass bitch
sandy was a weak ass bitch
sandy was a weak ass bitch
yes there is schol tomoro.
NA
schol
checked the news. yes there is schol tomoro. sandy was a weak ass bitch",Informative (Direct or Indirect),checked the news. yes there is schol tomoro. sandy was a weak ass bitch,checked the news. yes there is schol tomoro. sandy was a weak ass bitch,Information Source,None of the above,,BrandoCummando,
227174030,true,golden,5,11/25/2012 07:13:17,Look at this photo or these photos,0.4002,"http://t.co/j6I531we
http://t.co/j6I531we
N/A
http://t.co/j6I531we
http://t.co/j6I531we","Hurricane #Sandy hits NYC hard with intense winds
Hurricane #Sandy hits NYC hard with intense winds
hits NYC hard with intense winds
Hurricane #Sandy hits NYC
Hurricane hits NYC hard with intense winds",Informative (Direct or Indirect),Hurricane #Sandy hits NYC hard with intense winds #Frankenstorm http://t.co/j6I531we,Hurricane #Sandy hits NYC hard with intense winds #Frankenstorm http://t.co/j6I531we,Information Source,"Look at this photo or these photos
None of the above",http://t.co/j6I531we,davidfig79,
227174031,true,golden,6,11/24/2012 04:04:24,None of the above,0.6951,"n/a
N/A
N/A
N/A
N/A
N/A","press conference LIVE now on #Sandy aftermath.
Mayor Bloomberg holding press conference LIVE
Mayor Bloomberg holding press conference
Mayor Bloomberg holding press conference LIVE now on
Mayor Bloomberg holding press conference
N/A",Informative (Direct or Indirect),Mayor Bloomberg holding press conference LIVE now on #Sandy aftermath.,RT @HuffingtonPost: Mayor Bloomberg holding press conference LIVE now on #Sandy aftermath.,Information Source,None of the above,,HurricSandyNews,
227174032,true,golden,1,11/24/2012 22:17:12,Look at this video or these videos,1.0,http://t.co/eofIJ7Fe,Statue of Liberty,Informative (Direct or Indirect),RT @mrspantsworth: Statue of Liberty Torchcam - gives you some idea of the force of #sandy http://t.co/eofIJ7Fe,RT @dirtymondaze: RT @mrspantsworth: Statue of Liberty Torchcam - gives you some idea of the force of #sandy http://t.co/eofIJ7Fe,Information Source,Look at this web site/page,http://t.co/eofIJ7Fe,loloster,some idea of the force of #sandy
227174033,true,golden,2,11/23/2012 02:49:17,Look at this web site/page,0.5455,"http://t.co/eCGqw1ek
http://t.co/eCGqw1ek","images from the empty #NYC subways
from the empty #NYC subways",Informative (Direct),even the rats left town RT @YGNw: Eery images from the empty #NYC subways http://t.co/eCGqw1ek #sandy,even the rats left town RT @YGNw: Eery images from the empty #NYC subways http://t.co/eCGqw1ek #sandy,Information Source,Look at this photo or these photos,http://t.co/eCGqw1ek,dc_fusion,Eery images from the empty #NYC subways
227174034,true,golden,7,11/25/2012 07:09:18,None of the above,1.0,"N/A
n/a
N/A
N/A
N/A
N/A
N/A","BEST LIVE updates on the unfolding Hurricane Sandy situation in NYC
LIVE updates on the unfolding Hurricane Sandy situation in NYC
unfolding Hurricane Sandy situation in NYC follow
BEST LIVE updates on the unfolding Hurricane Sandy situation in NYC
N/A
Hurricane Sandy
updates on the unfolding Hurricane Sandy",Informative (Direct),BEST LIVE updates on the unfolding Hurricane Sandy situation in NYC follow live tweeting from the scene!,BEST LIVE updates on the unfolding Hurricane Sandy situation in NYC follow live tweeting from the scene!,Information Source,None of the above,,DowagerDuchessR,
227174035,true,golden,5,11/24/2012 14:30:06,Look at this photo or these photos,1.0,"http://t.co/09U9L5rW
http://t.co/09U9L5rW
http://photoblog.nbcnews.com/_news/2012/10/30/14809600-hurricane-sandy-leaves-surreal-scenes-in-its-wake?lite
http://t.co/09U9L5rW
http://t.co/09U9L5rW","Photos of the unbelievable scenes left in #Hurricane #Sandy's wake
Photos of the unbelievable scenes
Hurricane Sandy Leaves Surreal Scenes in Its Wake
unbelievable scenes left in #Hurricane #Sandy's wake
Photos of the unbelievable scenes left in #Hurricane #Sandy's wake",Informative (Direct),Photos of the unbelievable scenes left in #Hurricane #Sandy's wake http://t.co/09U9L5rW #NYC #NJ,RT @NBCNewsPictures: Photos of the unbelievable scenes left in #Hurricane #Sandy's wake http://t.co/09U9L5rW #NYC #NJ,Information Source,Look at this photo or these photos,http://t.co/09U9L5rW,Englishmuffin10,unbelievable scenes left in #Hurricane #Sandy's wake
227174036,true,golden,3,11/24/2012 22:17:12,Look at this web site/page,0.7237,"http://t.co/DkPjVctS
http://t.co/DkPjVctS
http://t.co/DkPjVctS","An inside look at NYU hospital's near disaster amid #Sandy
inside look at NYU hospital's near disaster amid #Sandy
NYU hospital's",Informative (Direct),An inside look at NYU hospital's near disaster amid #Sandy by @DrLaPook http://t.co/DkPjVctS,RT @CBSThisMorning: An inside look at NYU hospital's near disaster amid #Sandy by @DrLaPook http://t.co/DkPjVctS,Information Source,Look at this video or these videos, http://t.co/DkPjVctS,joeperrone,inside look at NYU hospital
227174037,true,golden,3,11/23/2012 18:20:00,Look at this photo or these photos,1.0,"http://t.co/MiGmwQRs
http://t.co/MiGmwQRs
http://t.co/MiGmwQRs","Possibly one of the most amazing things I've ever seen.
TombOfTheUnknownSoldier
#TombOfTheUnknownSoldie",Informative (Direct),Possibly one of the most amazing things I've ever seen. #TombOfTheUnknownSoldier #Sandy http://t.co/MiGmwQRs,RT @RichR11: Possibly one of the most amazing things I've ever seen. #TombOfTheUnknownSoldier #Sandy http://t.co/MiGmwQRs,Information Source,Look at this photo or these photos, http://t.co/MiGmwQRs,KMertzzz,TombOfTheUnknownSoldier
227174038,true,golden,2,11/24/2012 22:35:28,Look at this photo or these photos,1.0,"http://t.co/wd2zww1M
http://t.co/wd2zww1M","Real time instagram pics of the #Sandy happenings in NYC
Sandy",Informative (Direct),Real time instagram pics of the #Sandy happenings in NYC ! http://t.co/wd2zww1M via @konbini,Real time instagram pics of the #Sandy happenings in NYC ! http://t.co/wd2zww1M via @konbini,Information Source,Look at this photo or these photos,http://t.co/wd2zww1M,Lolakakon,"pics of the #Sandy happenings
Real time instagram pics of the #Sandy happenings in NYC
of the #Sandy happenings in NYC !
instagram pics
Real time instagram pics
Real time instagram pics of the #Sandy happenings in NYC !"
