,text
769,#NepalQuake: Relief Efforts Hampered by Flight Delays; 100s Flee Kathmandu http://t.co/C8sXXnJvAn http://t.co/oeVYU2AQDO
1194,woke up happy to be alive prayers out to all the victims of the #NepalEarthquake that shit is no joke
894,@PIB_India great work guys #proud #Indians #IndiaWithNepal
1436,@EconomicTimes What the fuck. This is not Nepal. WHAT THE FUCK.
1043,Roughly 5400 Indians evacuated so far: Foreign Secretary #NepalEarthquake#ThankYouPM #BJP
962,Canadian PM condoles quake calamity in Nepal promises full assistance: Canada's Prime Minister Stephen Harper ... http://t.co/Bh8hKjasih
129,Thank you #Skype for all calls to and from Nepal are free including calls to mobiles and land lines. #Nepal_Earthquake_Response
1212,#NepalQuake biggest in almost 100 years #Nepal
117,RT @AppStore: Here‚Äį√õ¬™s how you can help those affected by the #NepalEarthquake.  Donate now: http://t.co/ilMVRmI3AS http://t.co/lUO5IWDNkI
514,So glad to hear @EllisJStewart is safe and well-please help with the #NepalEarthquake aid appeal by donating here: http://t.co/knOmwOCdoF
187,"For those of you unaware... An earthquake in Nepal just killed 4,000 people."
731,Let us all come together to #PrayForNepal!  You can also  #AidNepal by donating here: http://t.co/12SzRLD182 http://t.co/Mm4LAoTOEC
142,RT @htTweets: Prime Minister Modi's instructions were to help Nepal in anyway we can: Indian foreign secy S Jaishankar
735,RT @UNWomenAust: 3.2 million women &amp; children are affected. Support UN Women‚Äį√õ¬™s relief efforts in #Nepal. https://t.co/73od9Urfs7 http://t.c‚Äį√õ_
958,"RT @TUTAZGAMD: Nepal, pics 1 hour apart... Crazy... https://t.co/0GaTTAAE7c"
355,Powerful earthquake kills hundreds in Nepal http://t.co/mIjeWPXpqQ
1205,"RT @PreetikaRules: May God bless Nepal n save all the souls there who are strugglin for their lives, n may the ones who lost their lives RI‚Äį√õ_"
921,#Earthquake death toll in Nepal rises to 876 -Reuters..its really vry sad news.All my condolnce wid dem.May dey all find d strenght 2 ovrcme
856,#Uber is donating for Nepal! Click &amp; know more about this offer&gt;&gt;http://t.co/5CdCWPtopD #earthquake http://t.co/OMjlMAs8qP -TTY:couponrajČŘ_
495,Doctors in Nepal appealing for more help http://t.co/NMcW1gaYMu
