,text
0,"RT @Hadithoftheday: Do your bit for the victims of the devastating earthquake in Nepal, donate via Human Appeal who're on the scene now: ht‰Û_"
1,RT @ANI_news: Indians evacuated from #NepalEarthquake reach Ahmedabad airport._ https://t.co/qDdVSrdZ0w http://t.co/NpngkUg9Bu
2,Free call to Nepal via Skype! Thanks Skype! http://t.co/KTgRbJtQNF
3,"To #Kathmandu and back: ‰Û÷Even now when I stand up, it feels as though the earth is moving‰Ûª. http://t.co/MBybCWve5o #NepalQuake"
4,My thoughts and prayers to everyone in Nepal... http://t.co/X71NzSFThH
5,RT @john: Prayers For Nepal http://t.co/tVwARmkdTG
6,Ganesh Giri's wife &amp; 5month old child is stuck in debris in #NepalEarthquake neither can I forget his face nor stop my tears.
7,@sweetasingh LIVE from Airport Kathmandu 19:03hrs in conversation with AOK in Studios http://t.co/r9dGNR8kBl
8,Wow... praying for the people affected by the massive earthquake in #Nepal ‡_Á4‡_äC
9,RT @ndtv: Thousands flee Kathmandu as India steps up relief efforts in Nepal: 10 developments http://t.co/2PSUwTRqv5 http://t.co/0yVpcvhjED
10,"RT @kathmandupost: ""I survived by drinking muddy water,"" says man rescued after 98 hours. #NepalQuake  http://t.co/QRxVOkcbam http://t.co/F‰Û_"
11,RT @SuvalagnaC: CNN missed out India in list of nations helping Nepal. &amp; India is pouring heart! Height of Presstitution! #ShameOnCNN http:‰Û_
12,"wholeheartedly, we support Ϭ#prayfornepal http://t.co/OO4O59lFW6"
13,think of Nepal over 5000 daed my by more that isnot climate change its natur whatis next not even mother nature can help that how it is
14,RT @RailMinIndia: 722 zero value tickets provided to the needy by NER #NepalEarthquake ! Zero value tickets for those who need it at T3- MR‰Û_
15,So sad for those in Nepal
16,kontext_bat: RT WSJ: Google executive Dan Fredinburg killed in Everest avalanche after Nepal earthquake ‰Û_ http://t.co/FxC3K1WB3t
17,Nepal Earthquake Relief Mission welcomes donations http://t.co/rrnoqcAJEO #changepenang
18,@christian_aid want to donate to appeal through @cafonline @cafaccount but not yet listed on their site.#Nepal #NepalQuakeRelief
19,"mt @emilyrauhala Nepal EQ also toppled buildings in Tibet, Chinese state media reports. No word on casualties there. http://t.co/5WCtMEQr7B"
20,RT @TerrellVito: Thoughts and prayers going out to the people of Nepal ‡__F ‡_Á4 http://t.co/Tj9DdPzBbt
21,#NepalEarthquake  I wish I was there to lend my shoulders too. http://t.co/Wciyhj1Q6N
22,Google's @danfredinburg dies of head injury after #NepalEarthquake: http://t.co/O2EpcbLDYc via @heyheyesj
23,"Dozens of hikers stranded on Mt. Everest. Hiking trails have been wiped out, so they have no way to hike off the mountain in #Nepal. #fox35"
24,#NepalQuakeRelief donations so far: - 7 countries = $25M - nonprofits = $2.5M More:  http://t.co/eP7abN5GJV http://t.co/tXkcM7kfXK
25,Last night we sent specially trained staff to #Nepal as part of the UK's response following the weekend's events. http://t.co/ZLWtycOWtt
26,#EagleNews #Rushmoor Nepali leader 'cost is high' but lessons must be learnt #NepalEarthquake http://t.co/UMh5mTtuov http://t.co/urPzzyaZpF
27,RFI Khmer Radio - nepal earthquake 5days after: http://t.co/CdohnitX2f via @YouTube
28,RT @SERVE_ON: Fantastic message of support from the lovely @470Girls we know Dan &amp; the team in #Nepal will be delighted. https://t.co/2k4dw‰Û_
29,"In Nepal, A Flood Of People Leave Capital To Return Home http://t.co/ALr48mMFl0"
30,PLEASE PRAY FOR HUMANITY &amp; PEOPLE WHO DIED &amp; INJURED IN EARTQUAKE IN INDIA &amp; IN NEPAL MAY GOD PROTECT AND BLESS ALL HUMAN BEINGS &amp; HUMANITY
31,"RT @Harry_Styles: To help those affected by the devastating earthquake in Nepal, text: DONATE5 to 70008 and give å£5. Thank you @savechildre‰Û_"
32,"Dozens of Britons untraced in Nepal: Dozens of British and Irish people are among the missing, as the Disaster... http://t.co/7Mv99zLtdI"
33,"@CaitlynnCJE aw thanks Caitlynn, yeah they live in Kathmandu so it's quite bad but they're all fine x"
34,"Microsoft offers free Skype calls in Nepal, Facebook donates $2 million http://t.co/ruGqXVhQdX"
35,"RT @SouleFacts: In Sindhupalchok alone, death reaches 1,300. 90% homes destroyed, desperate wait for help. https://t.co/OVcstUHoav  #NepalE‰Û_"
36,"Strong earthquake rocks Nepal, damages Kathmandu: Comments Source: Hacker News http://ift.t... http://t.co/uffsK10rts #hacker #headlines"
37,"#Earthquake in #India and #NepalEarthquake , #magnitude was 7.9 http://t.co/amHyLZi5Xy"
39,"Sending our thoughts&amp;prayers 2 people of &amp;in Nepal,trying to find out if Razon Miah &amp; family &amp; Narayan Khatri &amp; family ok #NepalQuake"
40,Google exec dies in Mt. Everest avalanche after Nepal quake http://t.co/s0jpaUROB1 #Startup #Entrepreneurs #Ideas
41,Canine Disaster Search Teams enroute to #Nepal - click for our latest update http://t.co/pxhUOZPlIr #searchdogs #USAR http://t.co/sxL4UyC6r7
42,RT @unisdr: Breakdown in communications hampering response effort #NepalEarthquake  https://t.co/kBD05ZVtFN
43,It's sad. https://t.co/q1AcSwbg0K
44,@cricketaakash sir Do RT this information https://t.co/F0xUePYzP3 #NepalQuakeRelief
45,@sardesairajdeep  Hello do you hear?  This includes people like you too!  #ThankYouPM  @narendramodi @mediacrooks  https://t.co/CdMYmZ88lQ
46,"Nepal's Ministry of Home Affairs says more than 150 people have died in the capital, Kathmandu, following a 7.9 magnitude earthquake."
47,"RT @TheTweetOfGod: You can pray for Nepal, or you can actually do something by contributing to relief efforts: https://t.co/Cm3XaC0rSp"
48,RT @AskAnshul: Pak Insulted Hinduism / Buddhism culture of Nepal  if Pak don't want to help its ok but don't spoil Spirituality n Beliefs  ‰Û_
49,RT @USEmbassyNepal: Here's a list of NGOs Responding to #NepalEarthquake http://t.co/FT3ctjpxT4 via @CIDIoutreach #WeStandwithNepal http://‰Û_
50,"RT @BBCBreaking: #NepalEarthquake latest http://t.co/hTcl4Kv0M5  - 3,617 killed - 6,515 injured - Totals ""set to rise"" - Huge damage http:/‰Û_"
51,@manjushreethapa Thanks. Have those details. Our thoughts also with the people of Nepal.
52,"RT @MalteserInt: Ingo Radtke, Malteser International Secretary General on our first response to the devestating #NepalEarthquake https://t.‰Û_"
53,@sunirr reports for @CNN about the situation in #Kathmandu after the #NepalEarthquake http://t.co/Z261nKaiBL
54,I added a video to a @YouTube playlist http://t.co/SJMDusoefH ROWW Prepares for Nepal
55,Brothers and Sisters please let's pray for #Nepal .
56,Help make it happen for SEEDs Nepal : Rebuilding and Restoring Communities http://t.co/vxtfT5pXWC #indiegogo via @indiegogo
57,RT @emilyrauhala: #NepalQuake: #Tibet also hit hard. China Daily reports 70% of buildings in Nyalam County damaged. (Foreign press barred f‰Û_
58,We should be so proud of this https://t.co/VvkQQdyoXk
59,"Whatever Home Ministry wl give orders will try to do that,will provide every possible support: JP Nadda (Union Health Min) #NepalEarthquake"""
60,The state of Nepal's historic landmarks http://t.co/nf3Uy1NM8I
61,May Allah Bless us all. Bless the World. Ameen #prayfornepal
62,"24 hour control room in Ministry of External Affairs, Nepal thanks India for assistance - The Economic Times http://t.co/EJmmj6sSMW"
63,RT @ICEYTREY: Bruce Jenner still front page of Yahoo when 1500 people died in an earthquake in Nepal this morning
64,"M6.6 - 49km E of Lamjung, Nepal massive aftershock http://t.co/OwiFrvekja"
65,PROCIT update: Internet and power still down in Kathmandu so communication is difficult. Office closed today #nepalquake
66,"Just awful. &gt; BBC News - #Nepal #earthquake: Death toll rises above 3,000 http://t.co/M9YZdtpzxK #everest"
67,@Inga_Ros Just launched: Google Person Finder http://t.co/ATkBbnnGLG HT @jqg
