,tweet
7,RT @Be_Determined_: Absolutely incredible. Tomb of the Unknown Soldier continues to stay guarded throughout Hurricane Sandy. http://t.co/fewg8QNV
27,RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp
69,Breaking: Sandy Makes Landfall in NJ http://t.co/4VE8aclK
70,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......
88,RT @SkyNewsBreak: Mayor of New York Michael Bloomberg says superstorm #Sandy has resulted in 18 deaths in NYC
100,Whoa RT: @danielpetty Best of the wire photos from Hurricane #Sandy so far http://t.co/8Aehy8HT
120,RT @DomingoBacalao: NYC & Sandy http://t.co/2Ycc8TE3
131,RT @rdevro: Bloomberg says power could be out in parts of NYC for three days or more; 750000 currently going without. #sandy
138,#CNN Trending in the U.S. Stick with us for #Sandy Coverage!
145,"Sandy death toll climbs to 38; millions affected by storm's devastation: Editor's note: Click the ""Play"" button ... http://t.co/SypLnUSw"
162,#Superstorm #Sandy Floods. Now Fire. A dozen homes burning in Rockaways. 200 Firefighters. 6 alarm blaze. LI house fires. Smell of gasoline
214,Not too much damage at all near me except for this billboard that took a spill. #sandy http://t.co/k4RNyqgx
216,RT @ckanal: #sandy RT @NYScanner: Manhattan: FDNY at the One World Trade Center with a Crane on top of freedom tower broken.
237,RT @kerstinshamberg: MTA chairman: There are 7 subway tunnels that connect Manhattan to Brooklyn & Queens those 7 are flooded #nyc #Sandy
240,RT @matthewwprice: While focus is on #NYC  remember #Sandy killed 52 in #Haiti and the situation could get worse there http://t.co/5T2fwm91
245,RT @jpchan: MTA Video Release: Hurricane #Sandy South Ferry/Whitehall St Station Damage http://t.co/gV5AFC7b @mtainsider @adamlisberg #mta
252,RT @LinkedGeekMedia: #Sandy Terrifying photos of SandyÃ¤Ã³Â»s aftermath uploaded in social media by victims http://t.co/T9dQEP94 via @LinkedGeekMedia
254,Unreal. 92 8th street manhattan buildings outer wall comes down during hurricane #Sandy https://t.co/dTx38N5m #srsly #real? #wtf
262,Good idea! RT @eatboston: Got no longer needed supplies from #Sandy prep? Please consider donating them to a shelter or food pantry.
264,A Look at Caribbean Deaths Damage From Sandy: A look at Caribbean deaths and damage from Hurricane Sandy ... http://t.co/zG9kENuO
267,Ã¤Ã³Ã¬@twc_hurricane: Hurricane Sandy: 5 PM ET 90 mph winds Cat 1 940 mb moving WNW at 28 mph. http://t.co/2Rn6TmdoÃ¤Ã³Â
270,RT @HC_Sandy: STORM UPDATE: Hurricane Sandy is 3-5 hours from making landfall in New Jersey. Expect Hurricane force winds. #Sandy
324,NYC Hurricane Sandy http://t.co/wuvn940m via @examinercom
327,RT @HuffPostCanada: UPDATE: No power at NYU Hospital. Reports of staff evacuating patients including those in ICU down 9 flights of stairs #SANDY
330,"RT @LatinINK_NEWS: ""Photos of Sandy entering NYC: http://t.co/eApZyMYL @foxnewslatino #Sandy http://t.co/Hahr5sjd"" #Sandy #NYC"
354,RT @PlayingForHIM: Even a hurricane won't keep the honor guard from the Tomb of the Unknown Soldier #Sandy #EndlessRETWEETS http://t.co/yTv2vsvc
373,NYC Transportation In Sandy's Wake: New Yorkers Anticipate Free Buses Closed Subway http://t.co/GOlkVxvc via @huffingtonpost
384,"RT @peterflom: Red Cross says they want blood and cash. Romney organizes cans which ""impede"" Red Cross efforts. http://t.co/5kBl0qcU"
399,RT @NickKristof: Romney apparently favors disbanding FEMA. I think Sandy is saying she disagrees: http://t.co/jiLbINnH
409,RT @NidaKhanNY: Wow at least 55 dead in multiple states from #Sandy ...
422,RT @911BUFF: PUBLIC HELP NEEDED: 2 BOYS 2 & 4 MISSING NEARLY 24 HOURS AFTER THEY GOT SEPARATED FROM THEIR MOM WHEN CAR SUBMERGED IN SI. #SANDY #911BUFF
424,Google takes on Hurricane Sandy http://t.co/cNrWrbu7
438,Sandy spending hopes drive rally for recovery companies - (Reuters) - Hurricane Sandy has caused tens of billions of... http://t.co/kohZZK0r
451,RT @datacenter: Massive Flooding Damages Several NYC Data Centers: Baement flooding hobbles 75 Broad Datagram. http://t.co/ntPwsJ5z #sandy
452,RT @WSJNY: The Tappan Zee Bridge will be closed to traffic at 4 p.m. due to wind gusts that could flip vehicles http://t.co/6Oyalt1L #Sandy
468,RT @RedCrossBloodNC: Thanks @WCCOEL for informing listeners about the need for blood donors because #Sandy has impacted the national @RedCross blood supply.
471,RT @G_Philly: Find out what you can do to pitch-in post-Sandy: http://t.co/vYNRJ5Xu #LGBT #Sandy #DOAC #NYC #JerseyShore #RedCross
475,@KolHaolam: SANDY: NYC subway system never faced such disaster in its 108 yrs of existence. 7 tunnels under East River flooded 6 bus ga ...
486,RT @thedailybeast: Bloomberg confirms 10 deaths in NYC due to Hurricane #Sandy says likely to go up as news comes in http://t.co/gxkk3laJ
497,Ã¤Ã³Ã¬@hurricannesandy: R.I.P to the 65 victims who lost their lives because of Hurricane Sandy. RT for respect &lt;3Ã¤Ã³Â
502,Landfall: Why New York City Could Get the Worst of SandyÃ¤Ã³Â»s Wrath http://t.co/Po1iXgaw via @TIME
513,RT @wolfejosh: Tribeca power gone #nyc #sandy Sole lights a cop car http://t.co/RwsBbhuG
516,A look at the damage that was caused by #Sandy http://t.co/Fz0jLNsL SLIDE SHOW
520,RT @TIME: NYC firefighters look up at a collapsed crane dangling from a building | http://t.co/8abQk4SC #Sandy
531,RT @TonyBaer: MTA Restoring some NYC bus svc 5p tonite. Subways less definite will come back in pieces. MTA great job. Keeping bustrains dry #sandy
536,Latest figure from Con Ed: 509000 NYC customers without power roughly 17% of total customers in city. #Sandy
537,RT @CNNkimsegal: SANDY: 108 storm related deaths; 40 in USA 67 in Caribbean 1 in Canada #CNN
545,Call us 24/7 at 888-708-5013 for emergency and shelter supplies - Hurricane #Sandy http://t.co/sA0rfK2k
552,RT @HuffingtonPost: Mayor Bloomberg: The 76 shelters we opened will remain open today. #Sandy #NYC
557,RT @GMA: 46 miles of track in the NYC subway system are underwater (via @ChrisCuomo) #Sandy
566,Breeze point got destroyed #Sandy
567,RT @NBCNews: Six-alarm blaze rips through 50 houses in Queens NY as #Sandy batters East Coast http://t.co/V1v0RBSY
569,Cleaning up riverside park. The whole bike path was submerged last night! #sandy #aftermath http://t.co/pQyAKKHm
573,RT @businessinsider All Of These Cars & Boats Were Destroyed By Sandy: In its voyage up the Atlanti... http://t.co/frjUty7h #Philippines
584,Space Shuttle Enterprise Damaged by Superstorm Sandy [PICS] - http://t.co/Uo03RRD8
585,RT @VegasBiLL: A Tour Of the Hurricane #Sandy Damage On New York's Upper West Side http://t.co/GcRUsNNO via @businessinsider #NYC
590,RT @SkyNewsBreak: AFP: President Obama declares 'major disaster' in New York after storm #Sandy
593,RT @AlexJamesFitz: RT @achorowitz: 630-1030 PM will be the worst of the storm in NYC says Bloomberg #nyc #sandy
601,#Hurricane #Sandy may have flooded the East Coast taken down trees and killed power but HeyWire was up and running strong!
603,RT @RedCross: If in immediate need of shelter please visit http://t.co/Pgxt83by to locate your nearest options. #shelter #Sandy
621,Did a follow up with bbc radio merseyside today at 5.02pm brit trapped in nyc #sandy http://t.co/kVdjAN1d
628,RT @HurricaneNBC10: #Sandy clearly the worst natural disaster in NJ history...NYC as well. Total damage probably in tens of billions.
633,RT @LeahRemini: Red Cross asking for anyone who can -donate blood across America 3000 units short. Also can text dono 'Red Cross' to 90999 #Sandy
647,RT @igolop: Hurricane #sandy on its way to NYC @Banjo http://t.co/Q8oJu6x5
649,Donnie Wahlberg & Celebs Tweet Hurricane Sandy Destruction http://t.co/SU8zxsqP
653,RT @HuffingtonPost: Mayor Bloomberg: Public transportation will likely remain closed tomorrow #Sandy #NYC
656,Hurricane Sandy Splits Energy Markets As Gasoline Spikes On Refinery Outages http://t.co/g9E2ejtP #business
663,Superstorm Sandy wrecks havoc across US East Coast death toll... - http://t.co/K1H2Jcug - #NewYorkCity #Tragedy
674,Travel Alerts: Hurricane Sandy Travel Update. Monday Oct. 29 2012 Ã¤Ã³Ã± 6:00pm PDT Trafalgar is c... http://t.co/Pwl728RX @CruiseWithBruce
679,"RT @thinkprogress: Bush's FEMA director Michael Brown criticizes Obama for responding to Sandy too ""quickly"" http://t.co/Bf1pZ67m #nottheonion"
