,feature,feature_spellcheck
0,aa,-1
1,aaa,-1
2,aaaaaaaa,-1
3,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,-1
4,aaaaand,-1
5,aaas,alas
6,aab,cab
7,aabad,bad
8,aabout,about
9,aaca,-1
10,aacf,-1
11,aadtth,-1
12,aah,aah
13,aahar,-1
14,aai,-1
15,aaj,-1
16,aalst,-1
17,aap,-1
18,aar,-1
19,aaron,aaron
20,aarqlt,-1
21,aarthik,-1
22,ab,ab
23,aba,-1
24,ababa,-1
25,abad,bad
26,abadan,abandon
27,abala,-1
28,abandomns,abandons
29,abandon,abandon
30,abandonned,abandoned
31,abanonned,abandoned
32,abaout,about
33,abarho,-1
34,abass,bass
35,abate,abate
36,abatement,abatement
37,abattre,battre
38,abbas,-1
39,abble,able
40,abbotabad,-1
41,abbottabad,-1
42,abbyloves,-1
43,abbymaroon,-1
44,abc,abc
45,abcb,abc
46,abcliving,-1
47,abdi,and
48,abdimalik,-1
49,abdirahman,-1
50,abdomen,abdomen
51,abdominal,abdominal
52,abdoul,about
53,abdoulaye,-1
54,abdrahmanov,-1
55,abduct,abduct
56,abduction,abduction
57,abductions,abduction
58,abdul,about
59,abdulaziz,-1
60,abdulla,medulla
61,abdullah,-1
62,abdullahi,-1
63,abdulnasser,-1
64,abdulsalami,-1
65,abdurrazzaq,-1
66,abdusami,-1
67,abe,abe
68,abebe,abbe
69,abeche,caleche
70,aberdare,-1
71,aberdares,-1
72,abet,-1
73,abhas,has
74,abhi,-1
75,abhiyan,-1
76,abi,-1
77,abid,-1
78,abide,abide
79,abidin,abiding
80,abilities,abilities
81,ability,ability
82,abiotic,-1
83,abitation,agitation
84,abject,abject
85,ablaze,ablaze
86,able,able
87,abli,able
88,ablution,-1
89,ably,ably
90,abnormal,abnormal
91,abnormalities,-1
92,abnormally,abnormally
93,abo,ago
94,aboard,aboard
95,abodes,abodes
96,abolish,abolish
97,abomey,above
98,abondoned,abandoned
99,abort,abort
100,abortion,abortion
101,abound,abound
102,abraham,abraham
103,abrar,-1
104,abrasive,abrasion
105,abreshim,-1
106,abri,are
107,abricot,-1
108,abrinadent,-1
109,abroad,abroad
110,abroard,abroad
111,abrupt,abrupt
112,abruptly,abruptly
113,abs,as
114,absence,absence
115,absent,absent
116,absheron,apsheron
117,absolute,absolute
118,absolutely,absolutely
119,absorb,absorb
120,absorption,absorption
121,absorptive,absorption
122,absoun,about
123,abt,at
124,abu,au
125,abubakar,-1
126,abuja,abuse
127,abundance,abundance
128,abundant,abundant
129,abundantly,abundantly
130,abuse,abuse
131,abusers,abuses
132,abusive,abusive
133,abutariq,-1
134,abutment,-1
135,abutments,augments
136,abvx,-1
137,aby,by
138,abyei,able
139,abyssinica,-1
140,ac,ac
141,acaba,-1
142,acabo,-1
143,acaca,acacia
144,acachon,cochon
145,acacia,acacia
146,academic,academic
147,academy,academy
148,acafdh,-1
149,acahaie,-1
150,acapulco,-1
151,acb,act
152,acc,act
153,accelerate,accelerate
154,acceleration,-1
155,accent,accent
156,accentuate,accentuated
157,accept,accept
158,acceptability,-1
159,acceptance,acceptance
160,acceptible,acceptable
161,acces,-1
162,access,access
163,accessible,accessible
164,accession,accession
165,accessories,-1
166,accident,accident
167,accidental,accidental
168,accidents,accidents
169,accommodate,accommodate
170,accommodation,accommodation
171,accommodations,accommodations
172,accomodate,accommodate
173,accomodated,accommodated
174,accomodation,accommodation
175,accomodations,accommodations
176,accompany,accompany
177,accomplice,accomplice
178,accomplir,accompli
179,accomplish,accomplish
180,accord,accord
181,accordance,accordance
182,accordingly,accordingly
183,account,account
184,accountability,accountability
185,accountable,accountable
186,accountancy,accountant
187,accountant,accountant
188,accra,-1
189,accredit,credit
190,accreditation,-1
191,accross,across
192,accrue,accrue
193,accumulate,accumulate
194,accumulation,accumulation
195,accumulations,accumulations
196,accuracy,accuracy
197,accurate,accurate
198,accurately,accurately
199,accusations,accusations
200,accuse,accuse
201,accustom,accustom
202,acdm,and
203,ace,ace
204,aceden,-1
205,aceh,ache
206,acehnese,-1
207,acellphone,-1
208,aceng,-1
209,acetylene,-1
210,acf,act
211,acfid,acid
212,ach,-1
213,acha,ache
214,achaea,-1
215,achank,thank
216,ache,ache
217,acheh,-1
218,achenese,chinese
219,achieve,achieve
220,achievement,achievement
221,achievements,achievements
222,achive,-1
223,acholi,coli
224,aciar,-1
225,acid,acid
226,acidic,-1
227,acidification,-1
228,acidity,aridity
229,acireh,acres
230,acknowledg,acknowledge
231,acknowledge,acknowledge
232,acknowledgement,acknowledgment
233,ackson,jackson
234,aclet,-1
235,acomapanhando,-1
236,acompanhando,-1
237,aconit,laconic
238,acording,according
239,acorn,acorn
240,acoustic,caustic
241,acovm,above
242,acpress,actress
243,acquaintances,acquaintances
244,acquiesce,acquiesce
245,acquiescence,acquiescence
246,acquire,acquire
247,acquisition,acquisition
248,acra,acre
249,acre,acre
250,acreage,acreage
251,acreages,acreage
252,acres,acres
253,acri,acre
254,acrid,acrid
255,acridien,-1
256,acrobate,-1
257,acroleine,caroline
258,acronym,crony
259,across,across
260,acrss,across
261,acsad,-1
262,act,act
263,acte,acte
264,actin,action
265,action,action
266,actionaid,-1
267,activate,activate
268,active,active
269,actively,actively
270,activies,-1
271,activism,activist
272,activist,activist
273,activistas,activist
274,activists,activist
275,activit,activity
276,activites,activities
277,activities,activities
278,activity,activity
279,actors,actors
280,actual,actual
281,actuales,-1
282,actualities,-1
283,actuality,actually
284,actually,actually
285,actualmente,-1
286,acul,all
287,acute,acute
288,acutely,acutely
289,acutest,acute
290,acyclone,-1
291,acylone,-1
292,ad,ad
293,adama,adams
294,adamant,adamant
295,adamawa,adamant
296,adapt,adapt
297,adaptability,-1
298,adaptable,-1
299,adaptation,adaptation
300,adaptive,captive
301,adara,-1
302,adare,-1
303,adb,add
304,add,add
305,addalaichennai,-1
306,addeh,added
307,addict,adduct
308,addis,adds
309,addisbursing,-1
310,addit,admit
311,addition,addition
312,additional,additional
313,additionally,additional
314,additive,addition
315,additives,additions
316,addo,add
317,addreses,address
318,address,address
319,addthis,-1
320,addtoany,-1
321,addu,add
322,ade,are
323,adebayor,-1
324,adel,-1
325,adelma,adenoma
326,adelmas,adenomas
327,adema,-1
328,aden,aden
329,adenoviral,-1
330,adenovirus,-1
331,adept,adept
332,adequacy,adequate
333,adequate,adequate
334,adequately,adequately
335,adf,add
336,adgjmgjmgjmgjmgjmgkmptwptwptwptwptwptwptwptwptwptwpwptwptwgjmgjmgjmad,-1
337,adgjmpgjm,-1
338,adhere,adhere
339,adherence,adherence
340,adhwara,athwart
341,adi,aid
342,adivasi,-1
343,adj,adj
344,adjacent,adjacent
345,adjoin,join
346,adjourn,adjourn
347,adjs,adds
348,adjust,adjust
349,adjustments,adjustments
350,adlo,ado
351,admi,admit
352,admin,admit
353,administer,administer
354,administration,administration
355,administrationof,administration
356,administrations,administrations
357,administrative,administrative
358,administrator,administrator
359,administrators,administrators
360,admirably,admirably
361,admiration,admiration
362,admire,admire
363,admisions,-1
364,admission,admission
365,admissions,admission
366,admit,admit
367,adn,and
368,ado,ado
369,adobe,adore
370,adohi,-1
371,adoken,-1
372,adolescent,adolescent
373,adolescents,adolescents
374,adon,don
375,adopt,adopt
376,adoption,adoption
377,adoptions,adoption
378,adore,adore
379,adoro,-1
380,adp,add
381,adra,agra
382,adrar,dear
383,adress,-1
384,adresse,-1
385,adresses,dresses
386,adu,-1
387,adult,adult
388,adulterate,-1
389,adults,adults
390,advace,-1
391,advance,advance
392,advancement,advancement
393,advantage,advantage
394,advent,advent
395,adventis,-1
396,adventist,-1
397,adventure,adventure
398,adverse,adverse
399,adversely,-1
400,advert,-1
401,advertida,advertise
402,advertise,advertise
403,advghs,advsh
404,advice,advice
405,advicee,advice
406,advices,advice
407,advil,-1
408,advise,advise
409,adviser,adviser
410,advisers,advisers
411,advisor,adviser
412,advisories,-1
413,advisors,advisers
414,advisory,advisory
415,advive,advice
416,advocacy,advocacy
417,advocate,advocate
418,ae,-1
419,aeacey,peace
420,aeci,-1
421,aed,and
422,aedes,aides
423,aegipty,-1
424,aegis,-1
425,aegypti,egypt
426,aelga,-1
427,aerial,aerial
428,aerodrome,-1
429,aerofans,-1
430,aeromedical,-1
431,aeroplane,airplane
432,aerosols,-1
433,aerospace,-1
434,aerospatiale,-1
435,aerport,airport
436,af,-1
437,afar,afar
438,afars,afar
439,afbqdoosandy,-1
440,afca,-1
441,afder,after
442,afebrile,afebrile
443,afected,affected
444,afer,after
445,afernoon,afternoon
446,affacted,affected
447,affair,affair
448,affaires,affaires
449,affairs,affairs
450,affcetees,-1
451,affect,affect
452,affectee,affected
453,affectees,affected
454,affection,affection
455,affiliate,affiliated
456,affiliation,affiliation
457,affiliations,affiliation
458,affirm,affirm
459,affirmation,affirmation
460,afflict,affect
461,afford,afford
462,affordable,unfordable
463,affraid,afraid
464,afghan,afghan
465,afghani,afghan
466,afghanis,afghan
467,afghanistan,afghanistan
468,afghans,afghan
469,afield,afield
470,afisma,anisya
471,afka,-1
472,aflatoxin,-1
473,afloat,afloat
474,aflwma,-1
475,afmadow,-1
476,afmar,afar
477,aford,afford
478,aforementioned,-1
479,aforestation,-1
480,afp,-1
481,afpd,and
482,afraid,afraid
483,afrankenstorm,-1
484,afrasiyab,-1
485,afrc,arc
486,afrerese,-1
487,africa,africa
488,africaine,-1
489,african,african
490,africans,africans
491,africare,africa
492,afs,as
493,afsc,as
494,aftab,after
495,aftamath,-1
496,aftercare,afterward
497,aftereffects,-1
498,aftermath,-1
499,aftermathpocalypse,-1
500,afternoon,afternoon
501,aftersandy,-1
502,aftershake,-1
503,aftershock,-1
504,aftershocks,-1
505,aftershoocks,-1
506,afterward,afterward
507,afterwards,afterwards
508,aftout,about
509,afwa,-1
510,afyon,anyone
511,ag,-1
512,aga,-1
513,agadez,agate
514,agains,-1
515,againts,against
516,agam,adam
517,agavenyc,-1
518,agcl,all
519,age,age
520,agelhouk,-1
521,agence,agency
522,agencies,agencies
523,agency,agency
524,agenda,agenda
525,agent,agent
526,agents,agents
527,agentur,-1
528,agglomeration,-1
529,aggravate,aggravate
530,aggregate,aggregate
531,aggression,aggression
532,aggressive,aggressive
533,agha,agra
534,agi,-1
535,agility,agility
536,agin,again
537,agitate,agitated
538,agitation,agitation
539,ago,ago
540,agoman,woman
541,agony,agony
542,agora,agra
543,agostino,-1
544,agqmj,-1
545,agr,-1
546,agra,agra
547,agradecida,-1
548,agrarian,agrarian
549,agree,agree
550,agreeable,agreeable
551,agreement,agreement
552,agreements,agreements
553,agressions,aggression
554,agri,agra
555,agribusiness,-1
556,agric,again
557,agricultural,agricultural
558,agriculturalist,agriculturalist
559,agriculturalists,agriculturalist
560,agriculture,agriculture
561,agricutural,agricultural
562,agritrade,-1
563,agro,ago
564,agrochemicals,-1
565,agroecology,-1
566,agroforestry,-1
567,agronomic,-1
568,agronomist,-1
569,agronomists,-1
570,agronomy,-1
571,agropastoralists,-1
572,agrotech,-1
573,aground,-1
574,agroupcash,-1
575,agua,-1
576,aguatab,-1
577,aguinho,-1
578,aguirre,guerre
579,agus,-1
580,agusta,augusta
581,agvolt,revolt
582,ah,ah
583,aha,ah
584,ahahahauauahahahahahaahthe,-1
585,ahaiti,haiti
586,ahave,have
587,ahead,ahead
588,ahhh,ah
589,ahi,ah
590,ahjbfb,-1
591,ahmad,ahead
592,ahmadabad,-1
593,ahmadpur,-1
594,ahmadyar,-1
595,ahmar,-1
596,ahmed,armed
597,ahmedabad,-1
598,ahmmad,ahead
599,ahndover,andover
600,ahoo,-1
601,ahsan,than
602,ahurricanesandy,-1
603,ahve,have
604,ahym,-1
605,ahzr,her
606,ai,ai
607,aia,-1
608,aiai,-1
609,aicf,-1
610,aid,aid
611,aide,aide
612,aiders,-1
613,aidez,-1
614,aidoo,-1
615,aif,if
616,aihrc,air
617,aiims,aims
618,aijaz,diaz
619,aijoaalooking,-1
620,aik,-1
621,aila,sila
622,ailaky,-1
623,ailleurs,tillers
624,ailment,-1
625,ailments,ailments
626,aim,aim
627,aima,aim
628,aimags,-1
629,aime,aime
630,aimlessly,aimlessly
631,aimmigration,immigration
632,ainda,and
633,aint,-1
634,aintgotnuthinonme,-1
635,aio,-1
636,aiport,airport
637,air,air
638,airbase,-1
639,airbases,-1
640,airboat,arbat
641,airborne,-1
642,airbridge,abridge
643,airbus,-1
644,aircraft,aircraft
645,aircrafts,aircraft
646,aircrew,-1
647,aircrews,-1
648,airdrop,wardrop
649,airdropped,-1
650,airdropping,-1
651,airdrops,raindrops
652,airfield,fairfield
653,airfields,fairfield
654,airflow,inflow
655,airforce,-1
656,airfreight,-1
657,airlift,-1
658,airline,airline
659,airlines,airline
660,airlocks,-1
661,airmen,-1
662,airmobile,immobile
663,airplane,airplane
664,airplanes,airplane
665,airport,airport
666,airports,airport
667,airspace,-1
668,airstrike,-1
669,airstrikes,-1
670,airstrip,-1
671,airstrips,-1
672,airtime,-1
673,airways,always
674,aise,-1
675,aishabonitaaa,-1
676,aisle,aisle
677,aisles,-1
678,aitape,tape
679,aiting,-1
680,aja,-1
681,ajacdeb,-1
682,ajel,anel
683,ajeri,-1
684,ajk,ask
685,ajnvtp,-1
686,ajof,of
687,ajoune,-1
688,ajps,alps
689,ajws,jaws
690,ak,ak
691,aka,-1
692,akachon,-1
693,akasan,kazan
694,akasya,-1
695,akay,away
696,akaye,away
697,akayev,-1
698,akazya,-1
699,akbar,-1
700,akbari,kari
701,akdenans,-1
702,akdn,akin
703,akefern,-1
704,akhari,zakhar
705,akhbar,zakhar
706,akijump,-1
707,akim,aim
708,akimat,animal
709,akin,akin
